Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 12.60 s, dT: 0.1000 s, Temp: 34.40 C, Target: 0.00 C, Output: 0
Time: 12.70 s, dT: 0.1000 s, Temp: 34.45 C, Target: 0.00 C, Output: 0
Time: 12.80 s, dT: 0.1000 s, Temp: 34.51 C, Target: 0.00 C, Output: 0
Time: 12.90 s, dT: 0.1000 s, Temp: 34.43 C, Target: 0.00 C, Output: 0
Time: 13.00 s, dT: 0.1000 s, Temp: 34.48 C, Target: 0.00 C, Output: 0
Time: 13.10 s, dT: 0.1000 s, Temp: 34.47 C, Target: 0.00 C, Output: 0
Time: 13.20 s, dT: 0.1000 s, Temp: 34.47 C, Target: 0.00 C, Output: 0
Time: 13.30 s, dT: 0.1000 s, Temp: 34.52 C, Target: 0.00 C, Output: 0
Time: 13.40 s, dT: 0.1000 s, Temp: 34.52 C, Target: 0.00 C, Output: 0
Time: 13.50 s, dT: 0.1000 s, Temp: 34.38 C, Target: 0.00 C, Output: 0
Time: 13.60 s, dT: 0.1000 s, Temp: 34.42 C, Target: 0.00 C, Output: 0
Time: 13.70 s, dT: 0.1000 s, Temp: 34.49 C, Target: 0.00 C, Output: 0
Time: 13.80 s, dT: 0.1000 s, Temp: 34.42 C, Target: 0.00 C, Output: 0
Time: 13.90 s, dT: 0.1000 s, Temp: 34.43 C, Target: 0.00 C, Output: 0
Time: 14.00 s, dT: 0.1000 s, Temp: 34.42 C, Target: 0.00 C, Output: 0
Time: 14.10 s, dT: 0.1000 s, Temp: 34.52 C, Target: 0.00 C, Output: 0
Time: 14.20 s, dT: 0.1000 s, Temp: 34.47 C, Target: 0.00 C, Output: 0
Time: 14.30 s, dT: 0.1000 s, Temp: 34.49 C, Target: 0.00 C, Output: 0
Time: 14.40 s, dT: 0.1000 s, Temp: 34.38 C, Target: 0.00 C, Output: 0
Time: 14.50 s, dT: 0.1000 s, Temp: 34.42 C, Target: 0.00 C, Output: 0
Time: 14.60 s, dT: 0.1000 s, Temp: 34.41 C, Target: 0.00 C, Output: 0
Time: 14.70 s, dT: 0.1000 s, Temp: 34.41 C, Target: 0.00 C, Output: 0
Time: 14.80 s, dT: 0.1000 s, Temp: 34.45 C, Target: 0.00 C, Output: 0
Time: 14.90 s, dT: 0.1000 s, Temp: 34.42 C, Target: 0.00 C, Output: 0
Time: 15.00 s, dT: 0.1000 s, Temp: 34.43 C, Target: 0.00 C, Output: 0
Time: 15.10 s, dT: 0.1000 s, Temp: 34.36 C, Target: 0.00 C, Output: 0
Time: 15.20 s, dT: 0.1000 s, Temp: 34.45 C, Target: 0.00 C, Output: 0
Time: 15.30 s, dT: 0.1000 s, Temp: 34.42 C, Target: 0.00 C, Output: 0
