Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
67 C, Target: 0.00 C, Output: 0
Time: 205.30 s, dT: 0.1000 s, Temp: 27.67 C, Target: 0.00 C, Output: 0
Time: 205.40 s, dT: 0.1000 s, Temp: 27.67 C, Target: 0.00 C, Output: 0
Time: 205.50 s, dT: 0.1000 s, Temp: 27.70 C, Target: 0.00 C, Output: 0
Time: 205.60 s, dT: 0.1000 s, Temp: 27.60 C, Target: 0.00 C, Output: 0
Time: 205.70 s, dT: 0.1000 s, Temp: 27.62 C, Target: 0.00 C, Output: 0
Time: 205.80 s, dT: 0.1000 s, Temp: 27.72 C, Target: 0.00 C, Output: 0
Time: 205.90 s, dT: 0.1000 s, Temp: 27.73 C, Target: 0.00 C, Output: 0
Time: 206.00 s, dT: 0.1000 s, Temp: 27.70 C, Target: 0.00 C, Output: 0
Time: 206.10 s, dT: 0.1000 s, Temp: 27.74 C, Target: 0.00 C, Output: 0
Time: 206.20 s, dT: 0.1000 s, Temp: 27.80 C, Target: 0.00 C, Output: 0
Time: 206.30 s, dT: 0.1000 s, Temp: 27.75 C, Target: 0.00 C, Output: 0
Time: 206.40 s, dT: 0.1000 s, Temp: 27.66 C, Target: 0.00 C, Output: 0
Time: 206.50 s, dT: 0.1000 s, Temp: 27.70 C, Target: 0.00 C, Output: 0
Time: 206.60 s, dT: 0.1000 s, Temp: 27.72 C, Target: 0.00 C, Output: 0
Time: 206.70 s, dT: 0.1000 s, Temp: 27.74 C, Target: 0.00 C, Output: 0
Time: 206.80 s, dT: 0.1000 s, Temp: 27.79 C, Target: 0.00 C, Output: 0
Time: 206.90 s, dT: 0.1000 s, Temp: 27.75 C, Target: 0.00 C, Output: 0
Time: 207.00 s, dT: 0.1000 s, Temp: 27.70 C, Target: 0.00 C, Output: 0
Time: 207.10 s, dT: 0.1000 s, Temp: 27.75 C, Target: 0.00 C, Output: 0
Time: 207.20 s, dT: 0.1000 s, Temp: 27.80 C, Target: 0.00 C, Output: 0
Time: 207.30 s, dT: 0.1000 s, Temp: 27.80 C, Target: 0.00 C, Output: 0
Time: 207.40 s, dT: 0.1000 s, Temp: 27.86 C, Target: 0.00 C, Output: 0
Time: 207.50 s, dT: 0.1000 s, Temp: 27.78 C, Target: 0.00 C, Output: 0
Time: 207.60 s, dT: 0.1000 s, Temp: 27.74 C, Target: 0.00 C, Output: 0
Time: 207.70 s, dT: 0.1000 s, Temp: 27.83 C, Target: 0.00 C, Output: 0
Time: 207.80 s, dT: 0.1000 s, Temp: 27.84 C, Target: 0.00 C, Output: 0
Time: 207.90 s, dT: 0.1000 s, Temp: 27.86 C, Target: 0.00 C, Output: 0
Time: 208.00 s, dT: 0.1000 s, Temp: 27.84 C, Target: 0.00 C, Output: 0
Time: 208.10 s, dT: 0.1000 s, Temp: 27.86 C, Target: 0.00 C, Output: 0
Time: 208.20 s, dT: 0.1000 s, Temp: 27.85 C, Target: 0.00 C, Output: 0
Time: 208.30 s, dT: 0.1000 s, Temp: 27.86 C, Target: 0.00 C, Output: 0
Time: 208.40 s, dT: 0.1000 s, Temp: 27.85 C, Target: 0.00 C, Output: 0
Time: 208.50 s, dT: 0.1000 s, Temp: 27.86 C, Target: 0.00 C, Output: 0
Time: 208.60 s, dT: 0.1000 s, Temp: 27.91 C, Target: 0.00 C, Output: 0
Time: 208.70 s, dT: 0.1000 s, Temp: 27.92 C, Target: 0.00 C, Output: 0
Time: 208.80 s, dT: 0.1000 s, Temp: 27.85 C, Target: 0.00 C, Output: 0
Time: 208.90 s, dT: 0.1000 s, Temp: 27.88 C, Target: 0.00 C, Output: 0
Time: 209.00 s, dT: 0.1000 s, Temp: 27.92 C, Target: 0.00 C, Output: 0
Reflow started
Time: 209.10 s, dT: 0.1000 s, Temp: 27.92 C, Target: 25.00 C, Output: 0
Time: 209.20 s, dT: 0.1010 s, Temp: 27.89 C, Target: 25.07 C, Output: 0
Time: 209.30 s, dT: 0.1000 s, Temp: 27.92 C, Target: 25.15 C, Output: 0
Time: 209.40 s, dT: 0.1000 s, Temp: 27.92 C, Target: 25.22 C, Output: 0
Time: 209.50 s, dT: 0.1000 s, Temp: 27.88 C, Target: 25.29 C, Output: 0
Time: 209.60 s, dT: 0.1010 s, Temp: 27.92 C, Target: 25.36 C, Output: 0
Time: 209.71 s, dT: 0.1010 s, Temp: 27.90 C, Target: 25.44 C, Output: 0
Time: 209.81 s, dT: 0.1010 s, Temp: 27.97 C, Target: 25.51 C, Output: 0
Time: 209.91 s, dT: 0.1010 s, Temp: 27.95 C, Target: 25.58 C, Output: 0
Time: 210.01 s, dT: 0.1000 s, Temp: 27.95 C, Target: 25.65 C, Output: 0
Time: 210.11 s, dT: 0.1000 s, Temp: 28.00 C, Target: 25.73 C, Output: 0
Time: 210.21 s, dT: 0.1000 s, Temp: 28.05 C, Target: 25.80 C, Output: 0
Time: 210.31 s, dT: 0.1000 s, Temp: 28.12 C, Target: 25.87 C, Output: 0
Time: 210.41 s, dT: 0.1000 s, Temp: 27.97 C, Target: 25.94 C, Output: 0
Time: 210.51 s, dT: 0.1000 s, Temp: 27.95 C, Target: 26.01 C, Output: 0
Time: 210.61 s, dT: 0.1000 s, Temp: 28.03 C, Target: 26.09 C, Output: 0
Time: 210.71 s, dT: 0.1000 s, Temp: 28.05 C, Target: 26.16 C, Output: 0
Time: 210.81 s, dT: 0.1000 s, Temp: 28.12 C, Target: 26.23 C, Output: 0
Time: 210.91 s, dT: 0.1000 s, Temp: 27.97 C, Target: 26.30 C, Output: 0
Time: 211.01 s, dT: 0.1000 s, Temp: 27.96 C, Target: 26.38 C, Output: 0
Time: 211.11 s, dT: 0.1000 s, Temp: 28.00 C, Target: 26.45 C, Output: 0
Time: 211.21 s, dT: 0.1000 s, Temp: 28.08 C, Target: 26.52 C, Output: 0
Time: 211.31 s, dT: 0.1000 s, Temp: 28.13 C, Target: 26.59 C, Output: 0
Time: 211.41 s, dT: 0.1000 s, Temp: 28.14 C, Target: 26.66 C, Output: 0
Time: 211.51 s, dT: 0.1000 s, Temp: 28.12 C, Target: 26.74 C, Output: 0
Time: 211.61 s, dT: 0.1000 s, Temp: 28.08 C, Target: 26.81 C, Output: 0
Time: 211.71 s, dT: 0.1000 s, Temp: 28.11 C, Target: 26.88 C, Output: 0
Time: 211.81 s, dT: 0.1000 s, Temp: 28.08 C, Target: 26.95 C, Output: 0
Time: 211.91 s, dT: 0.1000 s, Temp: 28.16 C, Target: 27.03 C, Output: 0
Time: 212.01 s, dT: 0.1000 s, Temp: 28.16 C, Target: 27.10 C, Output: 0
Time: 212.11 s, dT: 0.1000 s, Temp: 28.12 C, Target: 27.17 C, Output: 0
Time: 212.21 s, dT: 0.1000 s, Temp: 28.16 C, Target: 27.24 C, Output: 0
Time: 212.31 s, dT: 0.1000 s, Temp: 28.16 C, Target: 27.31 C, Output: 0
Time: 212.41 s, dT: 0.1000 s, Temp: 28.16 C, Target: 27.39 C, Output: 0
Time: 212.51 s, dT: 0.1000 s, Temp: 28.14 C, Target: 27.46 C, Output: 0
Time: 212.61 s, dT: 0.1000 s, Temp: 28.19 C, Target: 27.53 C, Output: 0
Time: 212.71 s, dT: 0.1000 s, Temp: 28.20 C, Target: 27.60 C, Output: 0
Time: 212.81 s, dT: 0.1000 s, Temp: 28.21 C, Target: 27.68 C, Output: 0
Time: 212.91 s, dT: 0.1000 s, Temp: 28.27 C, Target: 27.75 C, Output: 0
Time: 213.01 s, dT: 0.1000 s, Temp: 28.20 C, Target: 27.82 C, Output: 0
Time: 213.11 s, dT: 0.1000 s, Temp: 28.18 C, Target: 27.89 C, Output: 0
Time: 213.21 s, dT: 0.1000 s, Temp: 28.18 C, Target: 27.96 C, Output: 0
Time: 213.31 s, dT: 0.1000 s, Temp: 28.21 C, Target: 28.04 C, Output: 0
Time: 213.41 s, dT: 0.1000 s, Temp: 28.16 C, Target: 28.11 C, Output: 0
Time: 213.51 s, dT: 0.1000 s, Temp: 28.14 C, Target: 28.18 C, Output: 1
Time: 213.61 s, dT: 0.1000 s, Temp: 28.19 C, Target: 28.25 C, Output: 0
Time: 213.71 s, dT: 0.1000 s, Temp: 28.23 C, Target: 28.33 C, Output: 1
Time: 213.81 s, dT: 0.1000 s, Temp: 28.29 C, Target: 28.40 C, Output: 1
Time: 213.91 s, dT: 0.1000 s, Temp: 28.21 C, Target: 28.47 C, Output: 5
Time: 214.01 s, dT: 0.1000 s, Temp: 28.25 C, Target: 28.54 C, Output: 5
Time: 214.11 s, dT: 0.1000 s, Temp: 28.20 C, Target: 28.61 C, Output: 8
Time: 214.21 s, dT: 0.1000 s, Temp: 28.23 C, Target: 28.69 C, Output: 9
Time: 214.31 s, dT: 0.1000 s, Temp: 28.34 C, Target: 28.76 C, Output: 7
Time: 214.41 s, dT: 0.1000 s, Temp: 28.31 C, Target: 28.83 C, Output: 10
Time: 214.51 s, dT: 0.1000 s, Temp: 28.32 C, Target: 28.90 C, Output: 11
Time: 214.61 s, dT: 0.1000 s, Temp: 28.37 C, Target: 28.98 C, Output: 11
Time: 214.71 s, dT: 0.1000 s, Temp: 28.36 C, Target: 29.05 C, Output: 14
Time: 214.81 s, dT: 0.1000 s, Temp: 28.34 C, Target: 29.12 C, Output: 16
Time: 214.91 s, dT: 0.1000 s, Temp: 28.36 C, Target: 29.19 C, Output: 16
Time: 215.01 s, dT: 0.1000 s, Temp: 28.34 C, Target: 29.26 C, Output: 18
Time: 215.11 s, dT: 0.1000 s, Temp: 28.36 C, Target: 29.34 C, Output: 19
Time: 215.21 s, dT: 0.1000 s, Temp: 28.36 C, Target: 29.41 C, Output: 21
Time: 215.31 s, dT: 0.1000 s, Temp: 28.38 C, Target: 29.48 C, Output: 22
Time: 215.41 s, dT: 0.1000 s, Temp: 28.42 C, Target: 29.55 C, Output: 22
Time: 215.51 s, dT: 0.1000 s, Temp: 28.39 C, Target: 29.63 C, Output: 25
Time: 215.61 s, dT: 0.1000 s, Temp: 28.45 C, Target: 29.70 C, Output: 25
Time: 215.71 s, dT: 0.1000 s, Temp: 28.38 C, Target: 29.77 C, Output: 29
Time: 215.81 s, dT: 0.1000 s, Temp: 28.41 C, Target: 29.84 C, Output: 29
Time: 215.91 s, dT: 0.1000 s, Temp: 28.45 C, Target: 29.91 C, Output: 29
Time: 216.01 s, dT: 0.1000 s, Temp: 28.34 C, Target: 29.99 C, Output: 34
Time: 216.11 s, dT: 0.1000 s, Temp: 28.43 C, Target: 30.06 C, Output: 32
Time: 216.21 s, dT: 0.1000 s, Temp: 28.39 C, Target: 30.13 C, Output: 36
