Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 0.16 s, Temp: 59.67 C, Target: 50.05 C, Output: 0.00
Time: 0.42 s, Temp: 59.70 C, Target: 50.12 C, Output: 0.00
Time: 0.69 s, Temp: 59.74 C, Target: 50.19 C, Output: 0.00
Time: 0.95 s, Temp: 59.72 C, Target: 50.27 C, Output: 0.00
Time: 1.21 s, Temp: 59.72 C, Target: 50.34 C, Output: 0.00
Time: 1.48 s, Temp: 59.66 C, Target: 50.42 C, Output: 0.00
Time: 1.74 s, Temp: 59.72 C, Target: 50.49 C, Output: 0.00
Time: 2.00 s, Temp: 59.69 C, Target: 50.57 C, Output: 0.00
Time: 2.26 s, Temp: 59.67 C, Target: 50.64 C, Output: 0.00
Time: 2.53 s, Temp: 59.67 C, Target: 50.72 C, Output: 0.00
Time: 2.79 s, Temp: 59.66 C, Target: 50.79 C, Output: 0.00
Time: 3.05 s, Temp: 59.74 C, Target: 50.86 C, Output: 0.00
Time: 3.32 s, Temp: 59.72 C, Target: 50.94 C, Output: 0.00
Time: 3.58 s, Temp: 59.73 C, Target: 51.01 C, Output: 0.00
Time: 3.84 s, Temp: 59.73 C, Target: 51.09 C, Output: 0.00
Time: 4.10 s, Temp: 59.62 C, Target: 51.16 C, Output: 0.00
Time: 4.37 s, Temp: 59.79 C, Target: 51.24 C, Output: 0.00
Time: 4.63 s, Temp: 59.64 C, Target: 51.31 C, Output: 0.00
Time: 4.89 s, Temp: 59.69 C, Target: 51.39 C, Output: 0.00
Time: 5.16 s, Temp: 59.67 C, Target: 51.46 C, Output: 0.00
Time: 5.42 s, Temp: 59.63 C, Target: 51.54 C, Output: 0.00
Time: 5.68 s, Temp: 59.66 C, Target: 51.61 C, Output: 0.00
Time: 5.95 s, Temp: 59.64 C, Target: 51.68 C, Output: 0.00
Time: 6.21 s, Temp: 59.63 C, Target: 51.76 C, Output: 0.00
Time: 6.47 s, Temp: 59.60 C, Target: 51.83 C, Output: 0.00
Time: 6.73 s, Temp: 59.64 C, Target: 51.91 C, Output: 0.00
Time: 7.00 s, Temp: 59.66 C, Target: 51.98 C, Output: 0.00
Time: 7.26 s, Temp: 59.56 C, Target: 52.06 C, Output: 0.00
Time: 7.52 s, Temp: 59.60 C, Target: 52.13 C, Output: 0.00
Time: 7.78 s, Temp: 59.54 C, Target: 52.21 C, Output: 0.00
Time: 8.05 s, Temp: 59.58 C, Target: 52.28 C, Output: 0.00
Time: 8.31 s, Temp: 59.55 C, Target: 52.35 C, Output: 0.00
Time: 8.57 s, Temp: 59.51 C, Target: 52.43 C, Output: 0.00
Time: 8.84 s, Temp: 59.52 C, Target: 52.50 C, Output: 0.00
Time: 9.10 s, Temp: 59.59 C, Target: 52.58 C, Output: 0.00
Time: 9.36 s, Temp: 59.54 C, Target: 52.65 C, Output: 0.00
Time: 9.63 s, Temp: 59.53 C, Target: 52.73 C, Output: 0.00
Time: 9.89 s, Temp: 59.49 C, Target: 52.80 C, Output: 0.00
Time: 10.15 s, Temp: 59.49 C, Target: 52.88 C, Output: 0.00
Time: 10.42 s, Temp: 59.49 C, Target: 52.95 C, Output: 0.00
Time: 10.68 s, Temp: 59.51 C, Target: 53.03 C, Output: 0.00
Time: 10.94 s, Temp: 59.51 C, Target: 53.10 C, Output: 0.00
Time: 11.20 s, Temp: 59.54 C, Target: 53.17 C, Output: 0.00
Time: 11.47 s, Temp: 59.40 C, Target: 53.25 C, Output: 0.00
Time: 11.73 s, Temp: 59.46 C, Target: 53.32 C, Output: 0.00
Time: 11.99 s, Temp: 59.42 C, Target: 53.40 C, Output: 0.00
Time: 12.26 s, Temp: 59.44 C, Target: 53.47 C, Output: 0.00
Time: 12.52 s, Temp: 59.39 C, Target: 53.55 C, Output: 0.00
Time: 12.78 s, Temp: 59.42 C, Target: 53.62 C, Output: 0.00
Time: 13.04 s, Temp: 59.51 C, Target: 53.70 C, Output: 0.00
Time: 13.31 s, Temp: 59.35 C, Target: 53.77 C, Output: 0.00
Time: 13.57 s, Temp: 59.46 C, Target: 53.84 C, Output: 0.00
Time: 13.83 s, Temp: 59.38 C, Target: 53.92 C, Output: 0.00
Time: 14.10 s, Temp: 59.45 C, Target: 53.99 C, Output: 0.00
Time: 14.36 s, Temp: 59.38 C, Target: 54.07 C, Output: 0.00
Time: 14.62 s, Temp: 59.44 C, Target: 54.14 C, Output: 0.00
