Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 0.16 s, Temp: 32.43 C, Target: 50.15 C, Output: 30.04
Time: 0.42 s, Temp: 32.54 C, Target: 50.39 C, Output: 255.00
Time: 0.69 s, Temp: 32.49 C, Target: 50.62 C, Output: 255.00
Time: 0.95 s, Temp: 32.61 C, Target: 50.86 C, Output: 255.00
Time: 1.21 s, Temp: 32.59 C, Target: 51.10 C, Output: 255.00
Time: 1.48 s, Temp: 32.48 C, Target: 51.34 C, Output: 255.00
Time: 1.74 s, Temp: 32.58 C, Target: 51.58 C, Output: 255.00
Time: 2.00 s, Temp: 32.55 C, Target: 51.82 C, Output: 255.00
Time: 2.27 s, Temp: 32.58 C, Target: 52.06 C, Output: 255.00
Time: 2.53 s, Temp: 32.55 C, Target: 52.30 C, Output: 255.00
Time: 2.79 s, Temp: 32.49 C, Target: 52.54 C, Output: 255.00
Time: 3.06 s, Temp: 32.58 C, Target: 52.78 C, Output: 255.00
Time: 3.32 s, Temp: 32.60 C, Target: 53.02 C, Output: 255.00
Time: 3.58 s, Temp: 32.65 C, Target: 53.26 C, Output: 255.00
Time: 3.84 s, Temp: 32.70 C, Target: 53.49 C, Output: 255.00
Time: 4.11 s, Temp: 32.63 C, Target: 53.73 C, Output: 255.00
Time: 4.37 s, Temp: 32.60 C, Target: 53.97 C, Output: 255.00
Time: 4.63 s, Temp: 32.61 C, Target: 54.21 C, Output: 255.00
Time: 4.90 s, Temp: 32.63 C, Target: 54.45 C, Output: 255.00
Time: 5.16 s, Temp: 32.56 C, Target: 54.69 C, Output: 255.00
Time: 5.42 s, Temp: 32.56 C, Target: 54.93 C, Output: 255.00
Time: 5.69 s, Temp: 32.61 C, Target: 55.17 C, Output: 255.00
Time: 5.95 s, Temp: 32.63 C, Target: 55.41 C, Output: 255.00
Time: 6.21 s, Temp: 32.56 C, Target: 55.65 C, Output: 255.00
Time: 6.48 s, Temp: 32.63 C, Target: 55.89 C, Output: 255.00
Time: 6.74 s, Temp: 32.63 C, Target: 56.13 C, Output: 255.00
Time: 7.00 s, Temp: 32.59 C, Target: 56.36 C, Output: 255.00
Time: 7.26 s, Temp: 32.61 C, Target: 56.60 C, Output: 255.00
Time: 7.53 s, Temp: 32.65 C, Target: 56.84 C, Output: 255.00
Time: 7.79 s, Temp: 32.67 C, Target: 57.08 C, Output: 255.00
Time: 8.05 s, Temp: 32.73 C, Target: 57.32 C, Output: 255.00
Time: 8.32 s, Temp: 32.72 C, Target: 57.56 C, Output: 255.00
Time: 8.58 s, Temp: 32.66 C, Target: 57.80 C, Output: 255.00
Time: 8.84 s, Temp: 32.63 C, Target: 58.04 C, Output: 255.00
Time: 9.11 s, Temp: 32.65 C, Target: 58.28 C, Output: 255.00
Time: 9.37 s, Temp: 32.59 C, Target: 58.52 C, Output: 255.00
Time: 9.63 s, Temp: 32.65 C, Target: 58.76 C, Output: 255.00
Time: 9.90 s, Temp: 32.72 C, Target: 59.00 C, Output: 255.00
Time: 10.16 s, Temp: 32.74 C, Target: 59.23 C, Output: 255.00
Time: 10.42 s, Temp: 32.61 C, Target: 59.47 C, Output: 255.00
Time: 10.69 s, Temp: 32.70 C, Target: 59.71 C, Output: 255.00
Time: 10.95 s, Temp: 32.70 C, Target: 59.95 C, Output: 255.00
Time: 11.21 s, Temp: 32.74 C, Target: 60.19 C, Output: 255.00
Time: 11.47 s, Temp: 32.74 C, Target: 60.43 C, Output: 255.00
Time: 11.74 s, Temp: 32.68 C, Target: 60.67 C, Output: 255.00
Time: 12.00 s, Temp: 32.68 C, Target: 60.91 C, Output: 255.00
Time: 12.26 s, Temp: 32.76 C, Target: 61.15 C, Output: 255.00
Time: 12.53 s, Temp: 32.74 C, Target: 61.39 C, Output: 255.00
Time: 12.79 s, Temp: 32.72 C, Target: 61.63 C, Output: 255.00
Time: 13.05 s, Temp: 32.70 C, Target: 61.87 C, Output: 255.00
Time: 13.31 s, Temp: 32.79 C, Target: 62.10 C, Output: 255.00
Time: 13.58 s, Temp: 32.80 C, Target: 62.34 C, Output: 255.00
Time: 13.84 s, Temp: 32.81 C, Target: 62.58 C, Output: 255.00
Time: 14.10 s, Temp: 32.72 C, Target: 62.82 C, Output: 255.00
Time: 14.37 s, Temp: 32.76 C, Target: 63.06 C, Output: 255.00
Time: 14.63 s, Temp: 32.84 C, Target: 63.30 C, Output: 255.00
Time: 14.89 s, Temp: 32.86 C, Target: 63.54 C, Output: 255.00
Time: 15.16 s, Temp: 32.88 C, Target: 63.78 C, Output: 255.00
Time: 15.42 s, Temp: 32.85 C, Target: 64.02 C, Output: 255.00
Time: 15.68 s, Temp: 32.81 C, Target: 64.26 C, Output: 255.00
Time: 15.95 s, Temp: 32.88 C, Target: 64.50 C, Output: 255.00
Time: 16.21 s, Temp: 32.88 C, Target: 64.74 C, Output: 255.00
Time: 16.47 s, Temp: 32.88 C, Target: 64.97 C, Output: 255.00
Time: 16.73 s, Temp: 32.85 C, Target: 65.21 C, Output: 255.00
Time: 17.00 s, Temp: 32.90 C, Target: 65.45 C, Output: 255.00
Time: 17.26 s, Temp: 32.92 C, Target: 65.69 C, Output: 255.00
Time: 17.52 s, Temp: 33.01 C, Target: 65.93 C, Output: 255.00
Time: 17.79 s, Temp: 32.97 C, Target: 66.17 C, Output: 255.00
Time: 18.05 s, Temp: 32.96 C, Target: 66.41 C, Output: 255.00
Time: 18.31 s, Temp: 32.98 C, Target: 66.65 C, Output: 255.00
Time: 18.58 s, Temp: 32.99 C, Target: 66.89 C, Output: 255.00
Time: 18.84 s, Temp: 33.07 C, Target: 67.13 C, Output: 255.00
Time: 19.10 s, Temp: 33.04 C, Target: 67.37 C, Output: 255.00
Time: 19.37 s, Temp: 33.08 C, Target: 67.61 C, Output: 255.00
Time: 19.63 s, Temp: 33.09 C, Target: 67.85 C, Output: 255.00
Time: 19.89 s, Temp: 33.05 C, Target: 68.09 C, Output: 255.00
Time: 20.16 s, Temp: 33.13 C, Target: 68.32 C, Output: 255.00
Time: 20.42 s, Temp: 33.15 C, Target: 68.56 C, Output: 255.00
Time: 20.68 s, Temp: 33.19 C, Target: 68.80 C, Output: 255.00
Time: 20.95 s, Temp: 33.16 C, Target: 69.04 C, Output: 255.00
Time: 21.21 s, Temp: 33.19 C, Target: 69.28 C, Output: 255.00
Time: 21.47 s, Temp: 33.17 C, Target: 69.52 C, Output: 255.00
Time: 21.73 s, Temp: 33.25 C, Target: 69.76 C, Output: 255.00
Time: 22.00 s, Temp: 33.30 C, Target: 70.00 C, Output: 255.00
Time: 22.26 s, Temp: 33.25 C, Target: 70.24 C, Output: 255.00
Time: 22.52 s, Temp: 33.32 C, Target: 70.48 C, Output: 255.00
Time: 22.79 s, Temp: 33.35 C, Target: 70.72 C, Output: 255.00
Time: 23.05 s, Temp: 33.30 C, Target: 70.96 C, Output: 255.00
Time: 23.31 s, Temp: 33.27 C, Target: 71.19 C, Output: 255.00
Time: 23.58 s, Temp: 33.39 C, Target: 71.43 C, Output: 255.00
Time: 23.84 s, Temp: 33.41 C, Target: 71.67 C, Output: 255.00
Time: 24.10 s, Temp: 33.42 C, Target: 71.91 C, Output: 255.00
Time: 24.37 s, Temp: 33.44 C, Target: 72.15 C, Output: 255.00
Time: 24.63 s, Temp: 33.60 C, Target: 72.39 C, Output: 255.00
Time: 24.89 s, Temp: 33.53 C, Target: 72.63 C, Output: 255.00
Time: 25.16 s, Temp: 33.58 C, Target: 72.87 C, Output: 255.00
Time: 25.42 s, Temp: 33.50 C, Target: 73.11 C, Output: 255.00
Time: 25.68 s, Temp: 33.66 C, Target: 73.35 C, Output: 255.00
Time: 25.94 s, Temp: 33.64 C, Target: 73.59 C, Output: 255.00
Time: 26.21 s, Temp: 33.66 C, Target: 73.83 C, Output: 255.00
Time: 26.47 s, Temp: 33.70 C, Target: 74.07 C, Output: 255.00
Time: 26.73 s, Temp: 33.69 C, Target: 74.30 C, Output: 255.00
Time: 27.00 s, Temp: 33.80 C, Target: 74.54 C, Output: 255.00
Time: 27.26 s, Temp: 33.81 C, Target: 74.78 C, Output: 255.00
Time: 27.52 s, Temp: 33.87 C, Target: 75.02 C, Output: 255.00
Time: 27.79 s, Temp: 33.76 C, Target: 75.26 C, Output: 255.00
Time: 28.05 s, Temp: 33.87 C, Target: 75.50 C, Output: 255.00
Time: 28.31 s, Temp: 33.91 C, Target: 75.74 C, Output: 255.00
