Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 0.16 s, Temp: 49.70 C, Target: 50.04 C, Output: 0.00
Time: 0.42 s, Temp: 49.74 C, Target: 50.11 C, Output: 4.93
Time: 0.69 s, Temp: 49.72 C, Target: 50.17 C, Output: 10.23
Time: 0.95 s, Temp: 49.77 C, Target: 50.24 C, Output: 7.10
Time: 1.21 s, Temp: 49.74 C, Target: 50.30 C, Output: 12.39
Time: 1.48 s, Temp: 49.76 C, Target: 50.37 C, Output: 11.44
Time: 1.74 s, Temp: 49.76 C, Target: 50.43 C, Output: 13.54
Time: 2.00 s, Temp: 49.67 C, Target: 50.50 C, Output: 20.87
Time: 2.27 s, Temp: 49.73 C, Target: 50.57 C, Output: 13.51
Time: 2.53 s, Temp: 49.77 C, Target: 50.63 C, Output: 15.77
Time: 2.79 s, Temp: 49.73 C, Target: 50.70 C, Output: 20.84
Time: 3.06 s, Temp: 49.71 C, Target: 50.76 C, Output: 22.23
Time: 3.32 s, Temp: 49.71 C, Target: 50.83 C, Output: 22.37
Time: 3.58 s, Temp: 49.74 C, Target: 50.90 C, Output: 21.49
Time: 3.84 s, Temp: 49.81 C, Target: 50.96 C, Output: 19.45
Time: 4.11 s, Temp: 49.67 C, Target: 51.03 C, Output: 34.13
Time: 4.37 s, Temp: 49.72 C, Target: 51.09 C, Output: 25.13
Time: 4.63 s, Temp: 49.67 C, Target: 51.16 C, Output: 32.07
Time: 4.90 s, Temp: 49.67 C, Target: 51.22 C, Output: 31.04
Time: 5.16 s, Temp: 49.73 C, Target: 51.29 C, Output: 27.98
Time: 5.42 s, Temp: 49.73 C, Target: 51.36 C, Output: 32.42
Time: 5.69 s, Temp: 49.72 C, Target: 51.42 C, Output: 34.83
Time: 5.95 s, Temp: 49.77 C, Target: 51.49 C, Output: 32.08
Time: 6.21 s, Temp: 49.69 C, Target: 51.55 C, Output: 41.21
Time: 6.47 s, Temp: 49.65 C, Target: 51.62 C, Output: 41.35
Time: 6.74 s, Temp: 49.62 C, Target: 51.68 C, Output: 42.90
Time: 7.00 s, Temp: 49.67 C, Target: 51.75 C, Output: 38.83
Time: 7.26 s, Temp: 49.63 C, Target: 51.82 C, Output: 46.16
Time: 7.53 s, Temp: 49.65 C, Target: 51.88 C, Output: 43.49
Time: 7.79 s, Temp: 49.63 C, Target: 51.95 C, Output: 47.62
Time: 8.05 s, Temp: 49.64 C, Target: 52.01 C, Output: 46.67
Time: 8.31 s, Temp: 49.60 C, Target: 52.08 C, Output: 51.50
Time: 8.58 s, Temp: 49.62 C, Target: 52.14 C, Output: 49.77
Time: 8.84 s, Temp: 49.52 C, Target: 52.21 C, Output: 58.98
Time: 9.10 s, Temp: 49.69 C, Target: 52.28 C, Output: 43.18
Time: 9.37 s, Temp: 49.69 C, Target: 52.34 C, Output: 53.09
Time: 9.63 s, Temp: 49.57 C, Target: 52.41 C, Output: 62.60
Time: 9.89 s, Temp: 49.62 C, Target: 52.47 C, Output: 54.78
Time: 10.16 s, Temp: 49.64 C, Target: 52.54 C, Output: 56.80
Time: 10.42 s, Temp: 49.58 C, Target: 52.61 C, Output: 63.66
Time: 10.68 s, Temp: 49.60 C, Target: 52.67 C, Output: 60.21
Time: 10.95 s, Temp: 49.58 C, Target: 52.74 C, Output: 64.34
Time: 11.21 s, Temp: 49.49 C, Target: 52.80 C, Output: 70.50
Time: 11.47 s, Temp: 49.48 C, Target: 52.87 C, Output: 68.06
Time: 11.73 s, Temp: 49.49 C, Target: 52.93 C, Output: 68.44
Time: 12.00 s, Temp: 49.49 C, Target: 53.00 C, Output: 70.15
Time: 12.26 s, Temp: 49.55 C, Target: 53.07 C, Output: 67.09
Time: 12.52 s, Temp: 49.55 C, Target: 53.13 C, Output: 71.53
Time: 12.79 s, Temp: 49.40 C, Target: 53.20 C, Output: 83.78
Time: 13.05 s, Temp: 49.53 C, Target: 53.26 C, Output: 67.98
Time: 13.31 s, Temp: 49.45 C, Target: 53.33 C, Output: 81.96
Time: 13.58 s, Temp: 49.48 C, Target: 53.39 C, Output: 76.24
Time: 13.84 s, Temp: 49.48 C, Target: 53.46 C, Output: 79.51
Time: 14.10 s, Temp: 49.44 C, Target: 53.53 C, Output: 84.11
Time: 14.37 s, Temp: 49.42 C, Target: 53.59 C, Output: 84.17
Time: 14.63 s, Temp: 49.40 C, Target: 53.66 C, Output: 86.34
Time: 14.89 s, Temp: 49.47 C, Target: 53.72 C, Output: 81.56
Time: 15.15 s, Temp: 49.40 C, Target: 53.79 C, Output: 91.32
Time: 15.42 s, Temp: 49.45 C, Target: 53.85 C, Output: 85.84
Time: 15.68 s, Temp: 49.46 C, Target: 53.92 C, Output: 88.40
Time: 15.94 s, Temp: 49.39 C, Target: 53.99 C, Output: 95.42
Time: 16.21 s, Temp: 49.41 C, Target: 54.05 C, Output: 91.58
Time: 16.47 s, Temp: 49.40 C, Target: 54.12 C, Output: 95.16
Time: 16.73 s, Temp: 49.45 C, Target: 54.18 C, Output: 92.42
Time: 17.00 s, Temp: 49.35 C, Target: 54.25 C, Output: 102.64
Time: 17.26 s, Temp: 49.34 C, Target: 54.31 C, Output: 99.82
Time: 17.52 s, Temp: 49.40 C, Target: 54.38 C, Output: 96.91
Time: 17.78 s, Temp: 49.39 C, Target: 54.45 C, Output: 101.50
Time: 18.05 s, Temp: 49.27 C, Target: 54.51 C, Output: 111.18
Time: 18.31 s, Temp: 49.34 C, Target: 54.58 C, Output: 100.77
Time: 18.57 s, Temp: 49.27 C, Target: 54.64 C, Output: 111.47
Time: 18.84 s, Temp: 49.24 C, Target: 54.71 C, Output: 110.52
Time: 19.10 s, Temp: 49.28 C, Target: 54.78 C, Output: 107.93
Time: 19.36 s, Temp: 49.24 C, Target: 54.84 C, Output: 113.93
Time: 19.63 s, Temp: 49.23 C, Target: 54.91 C, Output: 113.84
Time: 19.89 s, Temp: 49.38 C, Target: 54.97 C, Output: 104.92
Time: 20.15 s, Temp: 49.26 C, Target: 55.04 C, Output: 121.47
Time: 20.42 s, Temp: 49.29 C, Target: 55.10 C, Output: 114.74
Time: 20.68 s, Temp: 49.28 C, Target: 55.17 C, Output: 118.17
Time: 20.94 s, Temp: 49.23 C, Target: 55.24 C, Output: 122.37
Time: 21.21 s, Temp: 49.19 C, Target: 55.30 C, Output: 124.62
