Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: adafruit_feather_esp32s3_reversetft; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Reflow started
Time: 0.16 s, Temp: 100.79 C, Target: 50.04 C, Output: 0.00
Time: 0.32 s, Temp: 100.84 C, Target: 50.08 C, Output: 0.00
Time: 0.49 s, Temp: 100.88 C, Target: 50.12 C, Output: 0.00
Time: 0.65 s, Temp: 100.98 C, Target: 50.16 C, Output: 0.00
Time: 0.81 s, Temp: 101.09 C, Target: 50.20 C, Output: 0.00
Time: 0.98 s, Temp: 101.06 C, Target: 50.24 C, Output: 0.00
Time: 1.14 s, Temp: 101.13 C, Target: 50.29 C, Output: 0.00
Time: 1.30 s, Temp: 101.11 C, Target: 50.33 C, Output: 0.00
Time: 1.47 s, Temp: 101.13 C, Target: 50.37 C, Output: 0.00
Time: 1.63 s, Temp: 101.12 C, Target: 50.41 C, Output: 0.00
Time: 1.79 s, Temp: 101.09 C, Target: 50.45 C, Output: 0.00
Time: 1.96 s, Temp: 101.02 C, Target: 50.49 C, Output: 0.00
Time: 2.12 s, Temp: 100.80 C, Target: 50.53 C, Output: 0.00
Time: 2.28 s, Temp: 100.30 C, Target: 50.57 C, Output: 0.00
Time: 2.45 s, Temp: 99.62 C, Target: 50.61 C, Output: 0.00
Time: 2.61 s, Temp: 98.98 C, Target: 50.65 C, Output: 0.00
Time: 2.77 s, Temp: 98.38 C, Target: 50.69 C, Output: 0.00
Time: 2.93 s, Temp: 97.67 C, Target: 50.73 C, Output: 0.00
Time: 3.10 s, Temp: 97.02 C, Target: 50.77 C, Output: 0.00
Time: 3.26 s, Temp: 96.38 C, Target: 50.82 C, Output: 0.00
Time: 3.42 s, Temp: 95.76 C, Target: 50.86 C, Output: 0.00
Time: 3.59 s, Temp: 95.14 C, Target: 50.90 C, Output: 0.00
Time: 3.75 s, Temp: 94.71 C, Target: 50.94 C, Output: 0.00
Time: 3.91 s, Temp: 94.12 C, Target: 50.98 C, Output: 0.00
Time: 4.08 s, Temp: 93.55 C, Target: 51.02 C, Output: 0.00
Time: 4.24 s, Temp: 92.95 C, Target: 51.06 C, Output: 0.00
Time: 4.40 s, Temp: 92.42 C, Target: 51.10 C, Output: 0.00
Time: 4.56 s, Temp: 91.96 C, Target: 51.14 C, Output: 0.00
Time: 4.73 s, Temp: 91.37 C, Target: 51.18 C, Output: 0.00
Time: 4.89 s, Temp: 90.95 C, Target: 51.22 C, Output: 0.00
Time: 5.05 s, Temp: 90.54 C, Target: 51.26 C, Output: 0.00
Time: 5.22 s, Temp: 90.02 C, Target: 51.30 C, Output: 0.00
Time: 5.38 s, Temp: 89.60 C, Target: 51.35 C, Output: 0.00
Time: 5.54 s, Temp: 89.12 C, Target: 51.39 C, Output: 0.00
Time: 5.71 s, Temp: 88.76 C, Target: 51.43 C, Output: 0.00
Time: 5.87 s, Temp: 88.27 C, Target: 51.47 C, Output: 0.00
Time: 6.03 s, Temp: 87.87 C, Target: 51.51 C, Output: 0.00
Time: 6.20 s, Temp: 87.39 C, Target: 51.55 C, Output: 0.00
Time: 6.36 s, Temp: 86.97 C, Target: 51.59 C, Output: 0.00
Time: 6.52 s, Temp: 86.66 C, Target: 51.63 C, Output: 0.00
Time: 6.69 s, Temp: 86.33 C, Target: 51.67 C, Output: 0.00
Time: 6.85 s, Temp: 86.03 C, Target: 51.71 C, Output: 0.00
Time: 7.01 s, Temp: 85.68 C, Target: 51.75 C, Output: 0.00
Time: 7.17 s, Temp: 85.26 C, Target: 51.79 C, Output: 0.00
Time: 7.34 s, Temp: 85.12 C, Target: 51.83 C, Output: 0.00
Time: 7.50 s, Temp: 84.84 C, Target: 51.88 C, Output: 0.00
Time: 7.66 s, Temp: 84.53 C, Target: 51.92 C, Output: 0.00
Time: 7.83 s, Temp: 84.33 C, Target: 51.96 C, Output: 0.00
Time: 7.99 s, Temp: 84.12 C, Target: 52.00 C, Output: 0.00
Time: 8.15 s, Temp: 83.83 C, Target: 52.04 C, Output: 0.00
Time: 8.31 s, Temp: 83.48 C, Target: 52.08 C, Output: 0.00
Time: 8.48 s, Temp: 83.18 C, Target: 52.12 C, Output: 0.00
Time: 8.64 s, Temp: 82.85 C, Target: 52.16 C, Output: 0.00
Time: 8.81 s, Temp: 82.52 C, Target: 52.20 C, Output: 0.00
Time: 8.97 s, Temp: 82.25 C, Target: 52.24 C, Output: 0.00
Time: 9.13 s, Temp: 81.90 C, Target: 52.28 C, Output: 0.00
Time: 9.29 s, Temp: 81.69 C, Target: 52.32 C, Output: 0.00
Time: 9.46 s, Temp: 81.57 C, Target: 52.36 C, Output: 0.00
Time: 9.62 s, Temp: 81.39 C, Target: 52.40 C, Output: 0.00
Time: 9.78 s, Temp: 81.20 C, Target: 52.45 C, Output: 0.00
Time: 9.94 s, Temp: 80.97 C, Target: 52.49 C, Output: 0.00
Time: 10.11 s, Temp: 80.69 C, Target: 52.53 C, Output: 0.00
Time: 10.27 s, Temp: 80.42 C, Target: 52.57 C, Output: 0.00
Time: 10.44 s, Temp: 80.03 C, Target: 52.61 C, Output: 0.00
Time: 10.60 s, Temp: 79.77 C, Target: 52.65 C, Output: 0.00
Time: 10.76 s, Temp: 79.57 C, Target: 52.69 C, Output: 0.00
Time: 10.92 s, Temp: 79.34 C, Target: 52.73 C, Output: 0.00
Time: 11.09 s, Temp: 79.09 C, Target: 52.77 C, Output: 0.00
Time: 11.25 s, Temp: 78.87 C, Target: 52.81 C, Output: 0.00
Time: 11.41 s, Temp: 78.56 C, Target: 52.85 C, Output: 0.00
Time: 11.58 s, Temp: 78.41 C, Target: 52.89 C, Output: 0.00
Time: 11.74 s, Temp: 78.28 C, Target: 52.93 C, Output: 0.00
Time: 11.90 s, Temp: 78.19 C, Target: 52.98 C, Output: 0.00
Time: 12.07 s, Temp: 78.09 C, Target: 53.02 C, Output: 0.00
Time: 12.23 s, Temp: 77.96 C, Target: 53.06 C, Output: 0.00
Time: 12.39 s, Temp: 77.83 C, Target: 53.10 C, Output: 0.00
