Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
me: 3.40 s, dT: 0.1000 s, Temp: 24.47 C, Target: 0.00 C, Output: 0
Time: 3.50 s, dT: 0.1000 s, Temp: 24.47 C, Target: 0.00 C, Output: 0
Time: 3.60 s, dT: 0.1000 s, Temp: 24.55 C, Target: 0.00 C, Output: 0
Time: 3.70 s, dT: 0.1000 s, Temp: 24.48 C, Target: 0.00 C, Output: 0
Time: 3.80 s, dT: 0.1000 s, Temp: 24.55 C, Target: 0.00 C, Output: 0
Time: 3.90 s, dT: 0.1000 s, Temp: 24.55 C, Target: 0.00 C, Output: 0
Time: 4.00 s, dT: 0.1000 s, Temp: 24.52 C, Target: 0.00 C, Output: 0
Time: 4.10 s, dT: 0.1000 s, Temp: 24.42 C, Target: 0.00 C, Output: 0
Time: 4.20 s, dT: 0.1000 s, Temp: 24.38 C, Target: 0.00 C, Output: 0
Time: 4.30 s, dT: 0.1000 s, Temp: 24.46 C, Target: 0.00 C, Output: 0
Time: 4.40 s, dT: 0.1000 s, Temp: 24.46 C, Target: 0.00 C, Output: 0
Time: 4.50 s, dT: 0.1000 s, Temp: 24.52 C, Target: 0.00 C, Output: 0
Time: 4.60 s, dT: 0.1000 s, Temp: 24.46 C, Target: 0.00 C, Output: 0
Time: 4.70 s, dT: 0.1000 s, Temp: 24.45 C, Target: 0.00 C, Output: 0
Time: 4.80 s, dT: 0.1000 s, Temp: 24.41 C, Target: 0.00 C, Output: 0
Time: 4.90 s, dT: 0.1000 s, Temp: 24.51 C, Target: 0.00 C, Output: 0
Time: 5.00 s, dT: 0.1000 s, Temp: 24.38 C, Target: 0.00 C, Output: 0
Time: 5.10 s, dT: 0.1000 s, Temp: 24.44 C, Target: 0.00 C, Output: 0
Time: 5.20 s, dT: 0.1000 s, Temp: 24.46 C, Target: 0.00 C, Output: 0
Time: 5.30 s, dT: 0.1000 s, Temp: 24.52 C, Target: 0.00 C, Output: 0
Time: 5.40 s, dT: 0.1000 s, Temp: 24.42 C, Target: 0.00 C, Output: 0
Time: 5.50 s, dT: 0.1000 s, Temp: 24.49 C, Target: 0.00 C, Output: 0
Time: 5.60 s, dT: 0.1000 s, Temp: 24.46 C, Target: 0.00 C, Output: 0
Time: 5.70 s, dT: 0.1000 s, Temp: 24.44 C, Target: 0.00 C, Output: 0
Time: 5.80 s, dT: 0.1000 s, Temp: 24.40 C, Target: 0.00 C, Output: 0
Time: 5.90 s, dT: 0.1000 s, Temp: 24.49 C, Target: 0.00 C, Output: 0
Time: 6.00 s, dT: 0.1000 s, Temp: 24.55 C, Target: 0.00 C, Output: 0
