Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 34.30 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 34.40 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 34.50 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 34.60 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 34.70 s, dT: 0.1000 s, Temp: 25.32 C, Target: 0.00 C, Output: 0
Time: 34.80 s, dT: 0.1000 s, Temp: 25.41 C, Target: 0.00 C, Output: 0
Time: 34.90 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 35.00 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 35.10 s, dT: 0.1000 s, Temp: 25.44 C, Target: 0.00 C, Output: 0
Time: 35.20 s, dT: 0.1000 s, Temp: 25.41 C, Target: 0.00 C, Output: 0
Time: 35.30 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 35.40 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 35.50 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 35.60 s, dT: 0.1000 s, Temp: 25.34 C, Target: 0.00 C, Output: 0
Time: 35.70 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 35.80 s, dT: 0.1000 s, Temp: 25.32 C, Target: 0.00 C, Output: 0
Time: 35.90 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 36.00 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 36.10 s, dT: 0.1000 s, Temp: 25.39 C, Target: 0.00 C, Output: 0
Time: 36.20 s, dT: 0.1000 s, Temp: 25.41 C, Target: 0.00 C, Output: 0
Time: 36.30 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 36.40 s, dT: 0.1000 s, Temp: 25.39 C, Target: 0.00 C, Output: 0
Time: 36.50 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 36.60 s, dT: 0.1000 s, Temp: 25.32 C, Target: 0.00 C, Output: 0
Time: 36.70 s, dT: 0.1000 s, Temp: 25.32 C, Target: 0.00 C, Output: 0
Time: 36.80 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 36.90 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 37.00 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 37.10 s, dT: 0.1000 s, Temp: 25.41 C, Target: 0.00 C, Output: 0
Time: 37.20 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 37.30 s, dT: 0.1000 s, Temp: 25.34 C, Target: 0.00 C, Output: 0
Time: 37.40 s, dT: 0.1000 s, Temp: 25.34 C, Target: 0.00 C, Output: 0
Time: 37.50 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 37.60 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 37.70 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 37.80 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 37.90 s, dT: 0.1000 s, Temp: 25.26 C, Target: 0.00 C, Output: 0
Time: 38.00 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 38.10 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 38.20 s, dT: 0.1000 s, Temp: 25.44 C, Target: 0.00 C, Output: 0
Time: 38.30 s, dT: 0.1000 s, Temp: 25.27 C, Target: 0.00 C, Output: 0
Time: 38.40 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 38.50 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 38.60 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 38.70 s, dT: 0.1000 s, Temp: 25.43 C, Target: 0.00 C, Output: 0
Time: 38.80 s, dT: 0.1000 s, Temp: 25.28 C, Target: 0.00 C, Output: 0
Time: 38.90 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 39.00 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 39.10 s, dT: 0.1000 s, Temp: 25.33 C, Target: 0.00 C, Output: 0
Time: 39.20 s, dT: 0.1000 s, Temp: 25.26 C, Target: 0.00 C, Output: 0
Time: 39.30 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 39.40 s, dT: 0.1000 s, Temp: 25.32 C, Target: 0.00 C, Output: 0
Time: 39.50 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 39.60 s, dT: 0.1000 s, Temp: 25.43 C, Target: 0.00 C, Output: 0
Time: 39.70 s, dT: 0.1000 s, Temp: 25.41 C, Target: 0.00 C, Output: 0
Time: 39.80 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 39.90 s, dT: 0.1000 s, Temp: 25.34 C, Target: 0.00 C, Output: 0
