Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
0.1000 s, Temp: 46.89 C, Target: 54.32 C, Output: 175
Time: 17.40 s, dT: 0.1000 s, Temp: 46.94 C, Output: 174
Time: 17.50 s, dT: 0.1000 s, Temp: 46.96 C, Target: 54.41 C, Output: 175
Time: 17.60 s, dT: 0.1000 s, Temp: 47.00 C, Target: 54.45 C, Output: 176
Time: 17.70 s, dT: 0.1000 s, Temp: 47.05 C, Target: 54.50 C, Output: 176
Time: 17.80 s, dT: 0.1000 s, Temp: 47.05 C, Target: 54.55 C, Output: 178
Time: 17.90 s, dT: 0.1010 s, Temp: 46.99 C, Target: 54.59 C, Output: 181
Time: 18.00 s, dT: 0.1000 s, Temp: 47.00 C, Target: 54.64 C, Output: 181
Time: 18.10 s, dT: 0.1000 s, Temp: 46.95 C, Target: 54.68 C, Output: 184
Time: 18.20 s, dT: 0.1000 s, Temp: 46.94 C, Target: 54.73 C, Output: 185
Time: 18.30 s, dT: 0.1000 s, Temp: 46.91 C, Target: 54.77 C, Output: 187
Time: 18.40 s, dT: 0.1000 s, Temp: 46.80 C, Target: 54.82 C, Output: 191
Time: 18.50 s, dT: 0.1000 s, Temp: 46.82 C, Target: 54.86 C, Output: 191
Time: 18.60 s, dT: 0.1000 s, Temp: 46.80 C, Target: 54.91 C, Output: 193
Time: 18.70 s, dT: 0.1000 s, Temp: 46.84 C, Target: 54.95 C, Output: 193
Time: 18.80 s, dT: 0.1000 s, Temp: 46.86 C, Target: 55.00 C, Output: 194
Time: 18.90 s, dT: 0.1000 s, Temp: 46.87 C, Target: 55.04 C, Output: 195
Time: 19.00 s, dT: 0.1000 s, Temp: 46.77 C, Target: 55.09 C, Output: 200
Time: 19.10 s, dT: 0.1000 s, Temp: 46.70 C, Target: 55.13 C, Output: 202
Time: 19.20 s, dT: 0.1000 s, Temp: 46.72 C, Target: 55.18 C, Output: 202
Time: 19.30 s, dT: 0.1000 s, Temp: 46.82 C, Target: 55.22 C, Output: 201
Time: 19.40 s, dT: 0.1000 s, Temp: 46.76 C, Target: 55.27 C, Output: 205
Time: 19.50 s, dT: 0.1000 s, Temp: 46.80 C, Target: 55.31 C, Output: 204
Time: 19.60 s, dT: 0.1000 s, Temp: 46.76 C, Target: 55.36 C, Output: 207
Time: 19.70 s, dT: 0.1000 s, Temp: 46.72 C, Target: 55.40 C, Output: 209
Time: 19.80 s, dT: 0.1000 s, Temp: 46.72 C, Target: 55.45 C, Output: 210
Time: 19.90 s, dT: 0.1000 s, Temp: 46.88 C, Target: 55.49 C, Output: 207
Time: 20.00 s, dT: 0.1000 s, Temp: 46.81 C, Target: 55.54 C, Output: 212
Time: 20.10 s, dT: 0.1000 s, Temp: 46.77 C, Target: 55.58 C, Output: 214
Time: 20.20 s, dT: 0.1000 s, Temp: 46.84 C, Target: 55.63 C, Output: 213
Time: 20.30 s, dT: 0.1000 s, Temp: 46.84 C, Target: 55.67 C, Output: 215
Time: 20.40 s, dT: 0.1000 s, Temp: 46.91 C, Target: 55.72 C, Output: 214
Time: 20.50 s, dT: 0.1000 s, Temp: 46.88 C, Target: 55.76 C, Output: 217
Time: 20.60 s, dT: 0.1000 s, Temp: 46.82 C, Target: 55.81 C, Output: 220
Time: 20.70 s, dT: 0.1000 s, Temp: 46.81 C, Target: 55.85 C, Output: 221
Time: 20.80 s, dT: 0.1000 s, Temp: 46.93 C, Target: 55.90 C, Output: 218
Time: 20.90 s, dT: 0.1000 s, Temp: 46.88 C, Target: 55.94 C, Output: 222
Time: 21.00 s, dT: 0.1000 s, Temp: 47.02 C, Target: 55.99 C, Output: 219
Time: 21.10 s, dT: 0.1000 s, Temp: 47.04 C, Target: 56.03 C, Output: 221
Time: 21.20 s, dT: 0.1000 s, Temp: 47.02 C, Target: 56.08 C, Output: 223
Time: 21.30 s, dT: 0.1000 s, Temp: 47.04 C, Target: 56.12 C, Output: 224
Time: 21.40 s, dT: 0.1000 s, Temp: 47.18 C, Target: 56.17 C, Output: 221
Time: 21.50 s, dT: 0.1000 s, Temp: 47.16 C, Target: 56.21 C, Output: 225
Time: 21.60 s, dT: 0.1000 s, Temp: 47.18 C, Target: 56.26 C, Output: 225
Time: 21.70 s, dT: 0.1000 s, Temp: 47.27 C, Target: 56.30 C, Output: 224
Time: 21.80 s, dT: 0.1000 s, Temp: 47.31 C, Target: 56.35 C, Output: 225
Time: 21.90 s, dT: 0.1000 s, Temp: 47.48 C, Target: 56.39 C, Output: 222
Time: 22.00 s, dT: 0.1000 s, Temp: 47.50 C, Target: 56.44 C, Output: 224
Time: 22.10 s, dT: 0.1000 s, Temp: 47.60 C, Target: 56.48 C, Output: 223
Time: 22.20 s, dT: 0.1000 s, Temp: 47.60 C, Target: 56.53 C, Output: 225
Time: 22.30 s, dT: 0.1000 s, Temp: 47.68 C, Target: 56.57 C, Output: 224
Time: 22.40 s, dT: 0.1000 s, Temp: 47.73 C, Target: 56.62 C, Output: 225
Time: 22.50 s, dT: 0.1000 s, Temp: 47.88 C, Target: 56.66 C, Output: 222
Time: 22.60 s, dT: 0.1000 s, Temp: 47.85 C, Target: 56.71 C, Output: 226
Time: 22.70 s, dT: 0.1010 s, Temp: 47.90 C, Target: 56.75 C, Output: 225
Time: 22.80 s, dT: 0.1000 s, Temp: 47.87 C, Target: 56.80 C, Output: 228
Time: 22.90 s, dT: 0.1000 s, Temp: 47.91 C, Target: 56.84 C, Output: 228
Time: 23.00 s, dT: 0.1000 s, Temp: 48.03 C, Target: 56.89 C, Output: 226
Time: 23.10 s, dT: 0.1000 s, Temp: 48.07 C, Target: 56.93 C, Output: 227
Time: 23.20 s, dT: 0.1000 s, Temp: 48.08 C, Target: 56.98 C, Output: 229
Time: 23.30 s, dT: 0.1000 s, Temp: 48.16 C, Target: 57.02 C, Output: 228
Time: 23.40 s, dT: 0.1000 s, Temp: 48.23 C, Target: 57.07 C, Output: 228
Time: 23.50 s, dT: 0.1000 s, Temp: 48.32 C, Target: 57.11 C, Output: 227
Time: 23.60 s, dT: 0.1000 s, Temp: 48.46 C, Target: 57.16 C, Output: 225
Time: 23.70 s, dT: 0.1000 s, Temp: 48.46 C, Target: 57.20 C, Output: 228
Time: 23.80 s, dT: 0.1000 s, Temp: 48.43 C, Target: 57.25 C, Output: 230
Time: 23.90 s, dT: 0.1000 s, Temp: 48.48 C, Target: 57.29 C, Output: 230
Time: 24.00 s, dT: 0.1000 s, Temp: 48.48 C, Target: 57.34 C, Output: 232
Time: 24.10 s, dT: 0.1000 s, Temp: 48.55 C, Target: 57.38 C, Output: 231
Time: 24.20 s, dT: 0.1000 s, Temp: 48.63 C, Target: 57.43 C, Output: 230
Time: 24.30 s, dT: 0.1000 s, Temp: 48.68 C, Target: 57.47 C, Output: 231
Time: 24.40 s, dT: 0.1000 s, Temp: 48.68 C, Target: 57.52 C, Output: 233
Time: 24.50 s, dT: 0.1000 s, Temp: 48.81 C, Target: 57.56 C, Output: 230
Time: 24.60 s, dT: 0.1000 s, Temp: 48.81 C, Target: 57.61 C, Output: 233
Time: 24.70 s, dT: 0.1000 s, Temp: 48.79 C, Target: 57.65 C, Output: 235
Time: 24.80 s, dT: 0.1000 s, Temp: 48.80 C, Target: 57.70 C, Output: 236
Time: 24.90 s, dT: 0.1000 s, Temp: 48.79 C, Target: 57.74 C, Output: 238
Time: 25.00 s, dT: 0.1000 s, Temp: 48.94 C, Target: 57.79 C, Output: 234
Time: 25.10 s, dT: 0.1000 s, Temp: 48.98 C, Target: 57.83 C, Output: 236
Time: 25.20 s, dT: 0.1000 s, Temp: 48.97 C, Target: 57.88 C, Output: 238
Time: 25.30 s, dT: 0.1000 s, Temp: 49.03 C, Target: 57.92 C, Output: 237
Time: 25.40 s, dT: 0.1000 s, Temp: 49.15 C, Target: 57.97 C, Output: 236
Time: 25.50 s, dT: 0.1000 s, Temp: 49.21 C, Target: 58.01 C, Output: 237
Time: 25.60 s, dT: 0.1000 s, Temp: 49.22 C, Target: 58.06 C, Output: 238
Time: 25.70 s, dT: 0.1000 s, Temp: 49.21 C, Target: 58.10 C, Output: 240
Time: 25.80 s, dT: 0.1000 s, Temp: 49.30 C, Target: 58.15 C, Output: 238
Time: 25.90 s, dT: 0.1000 s, Temp: 49.31 C, Target: 58.19 C, Output: 240
Time: 26.00 s, dT: 0.1000 s, Temp: 49.40 C, Target: 58.24 C, Output: 239
Time: 26.10 s, dT: 0.1000 s, Temp: 49.37 C, Target: 58.28 C, Output: 242
Time: 26.20 s, dT: 0.1000 s, Temp: 49.41 C, Target: 58.33 C, Output: 242
Time: 26.30 s, dT: 0.1000 s, Temp: 49.62 C, Target: 58.37 C, Output: 238
Time: 26.40 s, dT: 0.1000 s, Temp: 49.67 C, Target: 58.42 C, Output: 239
Time: 26.50 s, dT: 0.1000 s, Temp: 49.76 C, Target: 58.46 C, Output: 239
Time: 26.60 s, dT: 0.1000 s, Temp: 49.79 C, Target: 58.51 C, Output: 240
Time: 26.70 s, dT: 0.1000 s, Temp: 49.84 C, Target: 58.55 C, Output: 240
Time: 26.80 s, dT: 0.1000 s, Temp: 49.86 C, Target: 58.60 C, Output: 241
Time: 26.90 s, dT: 0.1000 s, Temp: 50.09 C, Target: 58.64 C, Output: 236
Time: 27.00 s, dT: 0.1000 s, Temp: 50.13 C, Target: 58.69 C, Output: 238
Time: 27.10 s, dT: 0.1000 s, Temp: 50.06 C, Target: 58.73 C, Output: 242
Time: 27.20 s, dT: 0.1000 s, Temp: 50.23 C, Target: 58.78 C, Output: 238
Time: 27.30 s, dT: 0.1000 s, Temp: 50.40 C, Target: 58.82 C, Output: 236
Time: 27.40 s, dT: 0.1000 s, Temp: 50.49 C, Target: 58.87 C, Output: 236
Time: 27.50 s, dT: 0.1000 s, Temp: 50.60 C, Target: 58.91 C, Output: 235
Time: 27.60 s, dT: 0.1000 s, Temp: 50.65 C, Target: 58.96 C, Output: 236
Time: 27.70 s, dT: 0.1000 s, Temp: 50.75 C, Target: 59.00 C, Output: 235
Time: 27.80 s, dT: 0.1000 s, Temp: 50.75 C, Target: 59.05 C, Output: 237
Time: 27.90 s, dT: 0.1000 s, Temp: 51.05 C, Target: 59.09 C, Output: 229
Time: 28.00 s, dT: 0.1000 s, Temp: 51.14 C, Target: 59.14 C, Output: 231
Time: 28.10 s, dT: 0.1000 s, Temp: 51.23 C, Target: 59.18 C, Output: 231
Time: 28.20 s, dT: 0.1000 s, Temp: 51.25 C, Target: 59.23 C, Output: 232
