Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
Time: 28.71 s, dT: 0.1000 s, Temp: 55.25 C, Target: 0.00 C, Output: 0
Time: 28.81 s, dT: 0.1000 s, Temp: 55.24 C, Target: 0.00 C, Output: 0
Time: 28.91 s, dT: 0.1000 s, Temp: 55.25 C, Target: 0.00 C, Output: 0
Time: 29.01 s, dT: 0.1000 s, Temp: 55.27 C, Target: 0.00 C, Output: 0
Time: 29.11 s, dT: 0.1000 s, Temp: 55.22 C, Target: 0.00 C, Output: 0
Time: 29.21 s, dT: 0.1000 s, Temp: 55.17 C, Target: 0.00 C, Output: 0
Time: 29.31 s, dT: 0.1000 s, Temp: 55.27 C, Target: 0.00 C, Output: 0
Time: 29.41 s, dT: 0.1000 s, Temp: 55.25 C, Target: 0.00 C, Output: 0
Time: 29.51 s, dT: 0.1000 s, Temp: 55.27 C, Target: 0.00 C, Output: 0
Time: 29.61 s, dT: 0.1000 s, Temp: 55.20 C, Target: 0.00 C, Output: 0
Time: 29.71 s, dT: 0.1000 s, Temp: 55.15 C, Target: 0.00 C, Output: 0
Time: 29.81 s, dT: 0.1000 s, Temp: 55.27 C, Target: 0.00 C, Output: 0
Time: 29.91 s, dT: 0.1000 s, Temp: 55.17 C, Target: 0.00 C, Output: 0
Time: 30.01 s, dT: 0.1000 s, Temp: 55.25 C, Target: 0.00 C, Output: 0
Time: 30.11 s, dT: 0.1000 s, Temp: 55.22 C, Target: 0.00 C, Output: 0
Time: 30.21 s, dT: 0.1000 s, Temp: 55.20 C, Target: 0.00 C, Output: 0
Time: 30.31 s, dT: 0.1000 s, Temp: 55.18 C, Target: 0.00 C, Output: 0
Time: 30.41 s, dT: 0.1000 s, Temp: 55.22 C, Target: 0.00 C, Output: 0
Time: 30.51 s, dT: 0.1000 s, Temp: 55.20 C, Target: 0.00 C, Output: 0
Time: 30.61 s, dT: 0.1000 s, Temp: 55.11 C, Target: 0.00 C, Output: 0
Time: 30.71 s, dT: 0.1000 s, Temp: 55.12 C, Target: 0.00 C, Output: 0
Time: 30.81 s, dT: 0.1000 s, Temp: 55.20 C, Target: 0.00 C, Output: 0
