Processing adafruit_feather_esp32s3_reversetft_espi (platform: espressif32; board: um_feathers3; framework: arduino)
--------------------------------------------------------------------------------
--- Terminal on /dev/ttyACM0 | 9600 8-N-1
--- Available filters and text transformations: colorize, debug, default, direct, esp32_exception_decoder, hexlify, log2file, nocontrol, printable, send_on_enter, time
--- More details at https://bit.ly/pio-monitor-filters
--- Quit: Ctrl+C | Menu: Ctrl+T | Help: Ctrl+T followed by Ctrl+H
00 C, Output: 0
Time: 24.71 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 24.81 s, dT: 0.1000 s, Temp: 25.39 C, Target: 0.00 C, Output: 0
Time: 24.91 s, dT: 0.1000 s, Temp: 25.39 C, Target: 0.00 C, Output: 0
Time: 25.01 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 25.11 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 25.21 s, dT: 0.1000 s, Temp: 25.45 C, Target: 0.00 C, Output: 0
Time: 25.31 s, dT: 0.1000 s, Temp: 25.45 C, Target: 0.00 C, Output: 0
Time: 25.41 s, dT: 0.1000 s, Temp: 25.48 C, Target: 0.00 C, Output: 0
Time: 25.51 s, dT: 0.1000 s, Temp: 25.39 C, Target: 0.00 C, Output: 0
Time: 25.61 s, dT: 0.1000 s, Temp: 25.35 C, Target: 0.00 C, Output: 0
Time: 25.71 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Time: 25.81 s, dT: 0.1000 s, Temp: 25.37 C, Target: 0.00 C, Output: 0
Time: 25.91 s, dT: 0.1000 s, Temp: 25.30 C, Target: 0.00 C, Output: 0
Time: 26.01 s, dT: 0.1000 s, Temp: 25.32 C, Target: 0.00 C, Output: 0
Time: 26.11 s, dT: 0.1000 s, Temp: 25.38 C, Target: 0.00 C, Output: 0
Reflow started
Time: 26.21 s, dT: 0.1000 s, Temp: 25.30 C, Target: 50.00 C, Output: 242
Time: 26.31 s, dT: 0.1010 s, Temp: 25.38 C, Target: 50.05 C, Output: 255
Time: 26.41 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.09 C, Output: 255
Time: 26.51 s, dT: 0.1000 s, Temp: 25.39 C, Target: 50.14 C, Output: 255
Time: 26.61 s, dT: 0.1000 s, Temp: 25.39 C, Target: 50.19 C, Output: 255
Time: 26.71 s, dT: 0.1000 s, Temp: 25.43 C, Target: 50.23 C, Output: 255
Time: 26.81 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.28 C, Output: 255
Time: 26.91 s, dT: 0.1000 s, Temp: 25.43 C, Target: 50.32 C, Output: 255
Time: 27.01 s, dT: 0.1000 s, Temp: 25.43 C, Target: 50.37 C, Output: 255
Time: 27.11 s, dT: 0.1000 s, Temp: 25.41 C, Target: 50.42 C, Output: 255
Time: 27.21 s, dT: 0.1000 s, Temp: 25.37 C, Target: 50.46 C, Output: 255
Time: 27.31 s, dT: 0.1000 s, Temp: 25.33 C, Target: 50.51 C, Output: 255
Time: 27.41 s, dT: 0.1000 s, Temp: 25.35 C, Target: 50.56 C, Output: 255
Time: 27.51 s, dT: 0.1000 s, Temp: 25.32 C, Target: 50.60 C, Output: 255
Time: 27.61 s, dT: 0.1000 s, Temp: 25.37 C, Target: 50.65 C, Output: 255
Time: 27.71 s, dT: 0.1000 s, Temp: 25.38 C, Target: 50.69 C, Output: 255
Time: 27.81 s, dT: 0.1000 s, Temp: 25.38 C, Target: 50.74 C, Output: 255
Time: 27.91 s, dT: 0.1000 s, Temp: 25.37 C, Target: 50.79 C, Output: 255
Time: 28.01 s, dT: 0.1000 s, Temp: 25.37 C, Target: 50.83 C, Output: 255
Time: 28.11 s, dT: 0.1000 s, Temp: 25.39 C, Target: 50.88 C, Output: 255
Time: 28.21 s, dT: 0.1000 s, Temp: 25.38 C, Target: 50.93 C, Output: 255
Time: 28.31 s, dT: 0.1000 s, Temp: 25.38 C, Target: 50.97 C, Output: 255
Time: 28.41 s, dT: 0.1000 s, Temp: 25.35 C, Target: 51.02 C, Output: 255
Time: 28.51 s, dT: 0.1000 s, Temp: 25.37 C, Target: 51.06 C, Output: 255
Time: 28.61 s, dT: 0.1000 s, Temp: 25.32 C, Target: 51.11 C, Output: 255
